User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevecg11;avatar;98;68;18;12;1;01:31:55;0;Male;2;0;3;2;-1;1;12;15;14;15;7;13;4;6;7;5;4;4;4;4;-6;-8;-9;-11;-3;-9;0
elevecg12;ranking;115;39;20;1;0;01:31:37;2;Male;6;3;12;6;-3;10;14;16;12;20;15;14;7;15;16;14;18;15;14;9;1;0;2;-2;0;0;2
elevecg14;progress;84;40;17;5;1;01:17:02;4;Male;-5;-1;-8;7;-3;-10;10;10;6;8;7;6;17;9;6;4;6;6;5;14;-1;-4;-2;-2;-1;-1;-3
eleveef01;score;119;104;28;24;3;01:43:15;3;Female;6;7;-3;10;-1;2;16;19;12;18;15;12;4;13;19;12;19;14;11;8;-3;0;0;1;-1;-1;4
eleveef02;badges;147;107;31;16;3;01:49:33;1;Female;6;2;0;3;-7;6;14;16;13;17;15;14;4;12;16;13;15;15;14;8;-2;0;0;-2;0;0;4
eleveef03;timer;101;76;16;9;0;01:36:44;2;Female;-3;12;1;10;1;-3;6;4;4;4;9;17;16;8;10;4;8;12;16;14;2;6;0;4;3;-1;-2
eleveef05;avatar;99;81;22;14;2;01:13:20;1;Female;-3;8;6;10;-5;5;17;17;13;20;14;16;4;13;15;11;14;14;16;12;-4;-2;-2;-6;0;0;8
eleveef06;ranking;153;95;32;12;2;02:11:00;1;Female;-6;-4;2;3;-8;3;14;17;10;12;16;17;7;9;15;8;10;13;13;8;-5;-2;-2;-2;-3;-4;1
eleveef07;score;88;42;19;4;0;01:28:44;3;Female;0;12;12;12;3;12;10;20;7;6;13;17;10;11;14;6;12;14;18;10;1;-6;-1;6;1;1;0
eleveef08;badges;126;108;29;22;7;01:57:47;4;Female;-2;-7;3;3;-9;0;11;10;6;13;11;13;6;10;11;10;12;11;12;7;-1;1;4;-1;0;-1;1
eleveef09;timer;130;103;30;21;3;02:06:31;0;Female;3;7;5;2;-4;7;15;16;18;16;14;19;5;13;16;16;14;13;13;8;-2;0;-2;-2;-1;-6;3
eleveef10;progress;127;94;28;17;2;01:37:09;1;Female;0;3;-4;4;0;-3;13;11;8;13;13;11;8;8;13;8;15;13;12;8;-5;2;0;2;0;1;0
eleveef11;avatar;143;85;24;12;2;01:25:31;5;Female;-4;-5;-7;12;3;6;10;9;5;9;10;14;9;10;11;4;11;11;13;11;0;2;-1;2;1;-1;2
eleveef12;ranking;151;92;28;12;2;01:49:35;1;Female;10;-3;2;8;-8;3;18;20;19;19;18;17;5;14;19;18;17;20;19;8;-4;-1;-1;-2;2;2;3
eleveeg04;progress;100;63;18;6;0;01:31:25;1;Male;-1;10;-3;9;-1;3;8;5;4;17;9;19;5;6;9;8;16;11;11;10;-2;4;4;-1;2;-8;5
